City,Date,Average House Price sold,Highest Price Sold
Anaheim,2000,186000,186000
Antelope,2000,0,0
Arcadia,2000,0,0
Auburn,2000,400000,400000
Bakersfield,2000,80500,109500
Berkeley,2000,399000,399000
Brentwood,2000,0,0
Buena Park,2000,0,0
Burbank,2000,263000,263000
Camarillo,2000,652500,652500
Canoga Park,2000,0,0
Canyon Country,2000,192000,249000
Carmichael,2000,0,0
Carson,2000,0,0
Chico,2000,0,0
Chino,2000,0,0
Citrus Heights,2000,92000,125000
Compton,2000,0,0
Concord,2000,570000,850000
Culver City,2000,240000,240000
Davis,2000,160000,160000
Dodgertown,2000,120000,120000
Elk Grove,2000,0,0
Eureka,2000,152000,152000
Fairfield,2000,0,0
Folsom,2000,231000,231000
Fresno,2000,143200,194000
Fullerton,2000,0,0
Glendale,2000,275000,275000
Hayward,2000,225000,225000
Indio,2000,195500,195500
Inglewood,2000,255000,255000
Irvine,2000,454500,662000
Long Beach,2000,236250,330000
Los Angeles,2000,344964.2857,1235000
Merced,2000,0,0
Modesto,2000,168000,168000
Oakland,2000,229000,298000
Orange,2000,144000,168000
Palmdale,2000,116716,116716
Pasadena,2000,295000,295000
Riverside,2000,51750,75000
Rocklin,2000,0,0
Roseville,2000,277500,306000
Sacramento,2000,217214.2857,483000
San Bernardino,2000,0,0
San Diego,2000,298285.7143,1010000
San Francisco,2000,540500,865000
San Jose,2000,286400,415000
Santa Cruz,2000,441000,441000
Stockton,2000,161500,241500
Tracy,2000,0,0
Vacaville,2000,156000,156000
Vallejo,2000,375000,375000
Vista,2000,248750,352500
Whittier,2000,466250,750000
Yuba City,2000,0,0
Anaheim,2001,330000,330000
Antelope,2001,0,0
Arcadia,2001,235000,235000
Auburn,2001,242500,242500
Bakersfield,2001,129500,172500
Berkeley,2001,359000,359000
Brentwood,2001,382000,382000
Buena Park,2001,0,0
Burbank,2001,125000,125000
Camarillo,2001,0,0
Canoga Park,2001,236818,236818
Canyon Country,2001,0,0
Carmichael,2001,0,0
Carson,2001,98000,0
Chico,2001,170750,211500
Chino,2001,0,0
Citrus Heights,2001,0,0
Compton,2001,121250,126500
Concord,2001,237000,237000
Culver City,2001,460000,460000
Davis,2001,106000,106000
Dodgertown,2001,0,0
Elk Grove,2001,270750,319000
Eureka,2001,88750,92000
Fairfield,2001,0,0
Folsom,2001,403500,403500
Fresno,2001,141500,230000
Fullerton,2001,196666.6667,228000
Glendale,2001,315000,480000
Hayward,2001,0,0
Indio,2001,148500,148500
Inglewood,2001,52000,52000
Irvine,2001,562500,803500
Long Beach,2001,353875,775000
Los Angeles,2001,346625,680000
Merced,2001,0,0
Modesto,2001,271386,334272
Oakland,2001,310000,310000
Orange,2001,254000,290000
Palmdale,2001,163000,163000
Pasadena,2001,430000,430000
Riverside,2001,154750,160000
Rocklin,2001,220500,230000
Roseville,2001,0,0
Sacramento,2001,120666.6667,188000
San Bernardino,2001,91500,103000
San Diego,2001,372466.6667,1330000
San Francisco,2001,590100,837500
San Jose,2001,633000,725000
Santa Cruz,2001,589000,589000
Stockton,2001,149000,149000
Tracy,2001,0,0
Vacaville,2001,236333.3333,340000
Vallejo,2001,265000,265000
Vista,2001,337500,350000
Whittier,2001,230000,293000
Yuba City,2001,0,0
Anaheim,2002,286000,320000
Antelope,2002,0,0
Arcadia,2002,0,0
Auburn,2002,325000,325000
Bakersfield,2002,114333.3333,130000
Berkeley,2002,0,0
Brentwood,2002,0,0
Buena Park,2002,183000,183000
Burbank,2002,0,0
Camarillo,2002,263000,263000
Canoga Park,2002,172500,172500
Canyon Country,2002,464625,717000
Carmichael,2002,0,0
Carson,2002,0,98000
Chico,2002,210500,260000
Chino,2002,0,0
Citrus Heights,2002,247833.3333,283500
Compton,2002,144500,185000
Concord,2002,277250,360000
Culver City,2002,0,0
Davis,2002,0,0
Dodgertown,2002,152000,152000
Elk Grove,2002,293250,345500
Eureka,2002,0,0
Fairfield,2002,321000,321000
Folsom,2002,0,0
Fresno,2002,225785.7143,595000
Fullerton,2002,191500,283000
Glendale,2002,365000,388000
Hayward,2002,524500,272000
Indio,2002,125000,125000
Inglewood,2002,0,0
Irvine,2002,339125,427500
Long Beach,2002,329666.6667,691000
Los Angeles,2002,328711.5385,1050000
Merced,2002,170166.6667,206000
Modesto,2002,194280,266500
Oakland,2002,631600,1975000
Orange,2002,1050500,1400000
Palmdale,2002,0,0
Pasadena,2002,353500,428000
Riverside,2002,245083.3333,361000
Rocklin,2002,0,0
Roseville,2002,0,0
Sacramento,2002,210625,319000
San Bernardino,2002,100250,121500
San Diego,2002,269272.7273,415000
San Francisco,2002,751083.3333,1550000
San Jose,2002,594000,775000
Santa Cruz,2002,0,0
Stockton,2002,229000,295000
Tracy,2002,0,0
Vacaville,2002,0,0
Vallejo,2002,179000,179000
Vista,2002,409750,489000
Whittier,2002,442500,580000
Yuba City,2002,211000,211000
Anaheim,2003,452333.3333,595000
Antelope,2003,0,0
Arcadia,2003,0,0
Auburn,2003,115000,115000
Bakersfield,2003,124625,235000
Berkeley,2003,529500,540000
Brentwood,2003,462500,591500
Buena Park,2003,455666.7,395000
Burbank,2003,396000,396000
Camarillo,2003,557000,557000
Canoga Park,2003,310000,310000
Canyon Country,2003,315000,410000
Carmichael,2003,0,0
Carson,2003,335000,390000
Chico,2003,224666.6667,245000
Chino,2003,295000,295000
Citrus Heights,2003,255000,255000
Compton,2003,180000,180000
Concord,2003,410000,425000
Culver City,2003,265000,265000
Davis,2003,565000,565000
Dodgertown,2003,495000,495000
Elk Grove,2003,271875,281500
Eureka,2003,150000,150000
Fairfield,2003,490000,490000
Folsom,2003,267000,267000
Fresno,2003,156333.3333,210000
Fullerton,2003,380500,380500
Glendale,2003,460000,590000
Hayward,2003,0,0
Indio,2003,381125,1000000
Inglewood,2003,0,0
Irvine,2003,0,0
Long Beach,2003,300000,390000
Los Angeles,2003,409184.2105,2000000
Merced,2003,157500,157500
Modesto,2003,284500,369000
Oakland,2003,193125,410000
Orange,2003,575000,575000
Palmdale,2003,253000,370000
Pasadena,2003,390000,525000
Riverside,2003,333800,435000
Rocklin,2003,350500,350500
Roseville,2003,507500,725000
Sacramento,2003,242800,555000
San Bernardino,2003,146785.7143,227000
San Diego,2003,452656.25,1325000
San Francisco,2003,524812.5,850000
San Jose,2003,506772.7273,950000
Santa Cruz,2003,0,0
Stockton,2003,261250,414500
Tracy,2003,319000,417000
Vacaville,2003,281500,348000
Vallejo,2003,0,0
Vista,2003,234250,285000
Whittier,2003,0,0
Yuba City,2003,293000,293000
Anaheim,2004,466000,548000
Antelope,2004,443750,495000
Arcadia,2004,455000,455000
Auburn,2004,838000,838000
Bakersfield,2004,211928.5714,362500
Berkeley,2004,675000,675000
Brentwood,2004,0,0
Buena Park,2004,389500,444000
Burbank,2004,0,0
Camarillo,2004,579500,699000
Canoga Park,2004,0,0
Canyon Country,2004,376250,460000
Carmichael,2004,387000,445000
Carson,2004,385000,390000
Chico,2004,335000,410000
Chino,2004,0,0
Citrus Heights,2004,387750,431000
Compton,2004,355000,355000
Concord,2004,0,0
Culver City,2004,495333.3333,861000
Davis,2004,520000,520000
Dodgertown,2004,380000,380000
Elk Grove,2004,404000,465000
